[20Apr2025 02:17:05.102] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[20Apr2025 02:17:05.106] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.14 by Ubuntu; OS Linux arch amd64 version 6.8.0-1021-azure
[20Apr2025 02:17:05.492] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[20Apr2025 02:17:05.544] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Serversitoxd/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[20Apr2025 02:17:05.830] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Serversitoxd/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[20Apr2025 02:17:05.832] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Serversitoxd/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Apr2025 02:17:05.833] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Serversitoxd/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Apr2025 02:17:05.834] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Serversitoxd/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Apr2025 02:17:06.011] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[20Apr2025 02:17:06.012] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 4 dependencies adding them to mods collection
[20Apr2025 02:17:08.083] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[20Apr2025 02:17:08.187] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[20Apr2025 02:17:08.360] [main/WARN] [mixin/]: Reference map 'coroutil.refmap.json' for coroutil.mixins.json could not be read. If this is a development environment you can ignore this message
[20Apr2025 02:17:09.798] [main/INFO] [MixinExtras|Service/]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.5).
[20Apr2025 02:17:16.350] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id architectury:sync_ids
[20Apr2025 02:17:16.353] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/42a7ad70b1cc371599a0eff744096b8a
[20Apr2025 02:17:16.360] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/74a5e841822a3a87854ae896a33430d6
[20Apr2025 02:17:16.365] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/eb3d1e2748533430848cadf0f37c7e9c
[20Apr2025 02:17:16.367] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/91c8520f19f93b3e8b6a727568e194ab
[20Apr2025 02:17:16.370] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/8c2784d778293fd482ed84b8aa5fedb9
[20Apr2025 02:17:16.374] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/ea038224ea783d40b2863f52239e2604
[20Apr2025 02:17:16.375] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id artifacts:networking_channel/97ad64b7ecaf33209991c4f031501a58
[20Apr2025 02:17:16.504] [modloading-worker-0/INFO] [coroutil/]: forge loader environment detected
[20Apr2025 02:17:16.949] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.3.7, for MC 1.20.1 with MCP 20230612.114412
[20Apr2025 02:17:16.950] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.3.7 Initialized
[20Apr2025 02:17:17.141] [modloading-worker-0/INFO] [be.florens.expandability.ExpandAbility/]: ExpandAbility here, who dis?
	alexsmobs:cachalot_whale_idle: 1590
	alexsmobs:caiman_hurt: 1705
	alexsmobs:caiman_idle: 1704
	alexsmobs:caiman_splash: 1706
	alexsmobs:capuchin_monkey_hurt: 1530
	alexsmobs:capuchin_monkey_idle: 1529
	alexsmobs:centipede_attack: 1535
	alexsmobs:centipede_hurt: 1534
	alexsmobs:centipede_walk: 1533
	alexsmobs:cockroach_hurt: 1549
	alexsmobs:comb_jelly_hurt: 1646
	alexsmobs:cosmaw_hurt: 1623
	alexsmobs:cosmaw_idle: 1622
	alexsmobs:cosmic_cod_hurt: 1647
	alexsmobs:crocodile_baby: 1504
	alexsmobs:crocodile_bite: 1503
	alexsmobs:crocodile_hurt: 1502
	alexsmobs:crocodile_idle: 1501
	alexsmobs:crow_hurt: 1563
	alexsmobs:crow_idle: 1562
	alexsmobs:devils_hole_pupfish_hurt: 1661
	alexsmobs:dropbear_hurt: 1584
	alexsmobs:dropbear_idle: 1583
	alexsmobs:elephant_die: 1553
	alexsmobs:elephant_hurt: 1552
	alexsmobs:elephant_idle: 1551
	alexsmobs:elephant_trumpet: 1554
	alexsmobs:elephant_walk: 1555
	alexsmobs:emu_hurt: 1580
	alexsmobs:emu_idle: 1579
	alexsmobs:end_pirate_door: 1708
	alexsmobs:endergrade_hurt: 1522
	alexsmobs:endergrade_idle: 1521
	alexsmobs:enderiophage_hurt: 1595
	alexsmobs:enderiophage_squish: 1596
	alexsmobs:enderiophage_walk: 1597
	alexsmobs:farseer_beam: 1678
	alexsmobs:farseer_emerge: 1677
	alexsmobs:farseer_hurt: 1675
	alexsmobs:farseer_idle: 1676
	alexsmobs:flutter_flap: 1640
	alexsmobs:flutter_hurt: 1639
	alexsmobs:flutter_idle: 1638
	alexsmobs:flutter_no: 1641
	alexsmobs:flutter_yes: 1642
	alexsmobs:fly_hurt: 1506
	alexsmobs:fly_idle: 1505
	alexsmobs:froststalker_hurt: 1617
	alexsmobs:froststalker_idle: 1616
	alexsmobs:gazelle_hurt: 1500
	alexsmobs:gelada_monkey_hurt: 1637
	alexsmobs:gelada_monkey_idle: 1636
	alexsmobs:giant_squid_games: 1649
	alexsmobs:giant_squid_hurt: 1659
	alexsmobs:giant_squid_tentacle: 1660
	alexsmobs:gorilla_hurt: 1514
	alexsmobs:gorilla_idle: 1513
	alexsmobs:grizzly_bear_die: 1495
	alexsmobs:grizzly_bear_hurt: 1494
	alexsmobs:grizzly_bear_idle: 1493
	alexsmobs:guster_hurt: 1574
	alexsmobs:guster_idle: 1573
	alexsmobs:hummingbird_hurt: 1508
	alexsmobs:hummingbird_idle: 1507
	alexsmobs:hummingbird_loop: 1509
	alexsmobs:jerboa_hurt: 1644
	alexsmobs:jerboa_idle: 1643
	alexsmobs:kangaroo_hurt: 1589
	alexsmobs:kangaroo_idle: 1588
	alexsmobs:komodo_dragon_hurt: 1526
	alexsmobs:komodo_dragon_idle: 1525
	alexsmobs:la_cucaracha: 1546
	alexsmobs:laviathan_hurt: 1621
	alexsmobs:laviathan_idle: 1620
	alexsmobs:leafcutter_ant_hurt: 1593
	alexsmobs:leafcutter_ant_queen_hurt: 1594
	alexsmobs:lobster_attack: 1524
	alexsmobs:lobster_hurt: 1523
	alexsmobs:maned_wolf_hurt: 1627
	alexsmobs:maned_wolf_idle: 1626
	alexsmobs:mantis_shrimp_hurt: 1572
	alexsmobs:mantis_shrimp_snap: 1571
	alexsmobs:maraca: 1545
	alexsmobs:mimic_octopus_hurt: 1612
	alexsmobs:mimic_octopus_idle: 1611
	alexsmobs:mimicube_hurt: 1542
	alexsmobs:mimicube_jump: 1541
	alexsmobs:moose_hurt: 1539
	alexsmobs:moose_idle: 1538
	alexsmobs:moose_jostle: 1540
	alexsmobs:mosquito_capsid_convert: 1648
	alexsmobs:mosquito_die: 1517
	alexsmobs:mosquito_hurt: 1516
	alexsmobs:mosquito_loop: 1515
	alexsmobs:mudskipper_hurt: 1668
	alexsmobs:mudskipper_spit: 1670
	alexsmobs:mudskipper_walk: 1669
	alexsmobs:mungus_hurt: 1567
	alexsmobs:mungus_idle: 1566
	alexsmobs:mungus_laser_end: 1568
	alexsmobs:mungus_laser_grow: 1570
	alexsmobs:mungus_laser_loop: 1569
	alexsmobs:murmur_anger: 1693
	alexsmobs:murmur_attack: 1692
	alexsmobs:murmur_hurt: 1689
	alexsmobs:murmur_idle: 1690
	alexsmobs:murmur_neck: 1691
	alexsmobs:music_disc_daze: 1613
	alexsmobs:music_disc_thime: 1598
	alexsmobs:music_wormboss: 1606
	alexsmobs:orca_die: 1512
	alexsmobs:orca_hurt: 1511
	alexsmobs:orca_idle: 1510
	alexsmobs:platypus_hurt: 1582
	alexsmobs:platypus_idle: 1581
	alexsmobs:potoo_call: 1667
	alexsmobs:potoo_hurt: 1666
	alexsmobs:raccoon_hurt: 1544
	alexsmobs:raccoon_idle: 1543
	alexsmobs:rain_frog_hurt: 1664
	alexsmobs:rain_frog_idle: 1665
	alexsmobs:rattlesnake_attack: 1520
	alexsmobs:rattlesnake_hurt: 1519
	alexsmobs:rattlesnake_loop: 1518
	alexsmobs:rhinoceros_hurt: 1672
	alexsmobs:rhinoceros_idle: 1671
	alexsmobs:roadrunner_hurt: 1498
	alexsmobs:roadrunner_idle: 1497
	alexsmobs:roadrunner_meep: 1499
	alexsmobs:rocky_roller_earthquake: 1635
	alexsmobs:rocky_roller_hurt: 1634
	alexsmobs:rocky_roller_idle: 1633
	alexsmobs:sculk_boomer: 1684
	alexsmobs:sculk_boomer_fart: 1685
	alexsmobs:seagull_hurt: 1615
	alexsmobs:seagull_idle: 1614
	alexsmobs:seal_hurt: 1548
	alexsmobs:seal_idle: 1547
	alexsmobs:shoebill_hurt: 1550
	alexsmobs:skelewag_hurt: 1662
	alexsmobs:skelewag_idle: 1663
	alexsmobs:skreecher_call: 1681
	alexsmobs:skreecher_clap: 1683
	alexsmobs:skreecher_detect: 1682
	alexsmobs:skreecher_hurt: 1680
	alexsmobs:skunk_hurt: 1695
	alexsmobs:skunk_idle: 1696
	alexsmobs:skunk_spray: 1697
	alexsmobs:snow_leopard_hurt: 1559
	alexsmobs:snow_leopard_idle: 1558
	alexsmobs:soul_vulture_hurt: 1557
	alexsmobs:soul_vulture_idle: 1556
	alexsmobs:spectre_hurt: 1561
	alexsmobs:spectre_idle: 1560
	alexsmobs:stink_ray: 1698
	alexsmobs:straddler_hurt: 1578
	alexsmobs:straddler_idle: 1577
	alexsmobs:sugar_glider_hurt: 1674
	alexsmobs:sugar_glider_idle: 1673
	alexsmobs:sunbird_hurt: 1528
	alexsmobs:sunbird_idle: 1527
	alexsmobs:tarantula_hawk_hurt: 1605
	alexsmobs:tarantula_hawk_wing: 1604
	alexsmobs:tasmanian_devil_hurt: 1586
	alexsmobs:tasmanian_devil_idle: 1585
	alexsmobs:tasmanian_devil_roar: 1587
	alexsmobs:tendon_whip: 1694
	alexsmobs:terrapin_hurt: 1645
	alexsmobs:tiger_angry: 1603
	alexsmobs:tiger_hurt: 1602
	alexsmobs:tiger_idle: 1601
	alexsmobs:toucan_hurt: 1625
	alexsmobs:toucan_idle: 1624
	alexsmobs:transmute_item: 1679
	alexsmobs:triops_hurt: 1707
	alexsmobs:tusklin_hurt: 1619
	alexsmobs:tusklin_idle: 1618
	alexsmobs:underminer_hurt: 1687
	alexsmobs:underminer_idle: 1686
	alexsmobs:underminer_step: 1688
	alexsmobs:vine_lasso: 1631
	alexsmobs:void_portal_close: 1609
	alexsmobs:void_portal_open: 1610
	alexsmobs:void_worm_hurt: 1608
	alexsmobs:void_worm_idle: 1607
	alexsmobs:warped_mosco_hurt: 1576
	alexsmobs:warped_mosco_idle: 1575
	alexsmobs:warped_toad_hurt: 1537
	alexsmobs:warped_toad_idle: 1536
	cave_dweller:cavenoise_1: 1948
	cave_dweller:cavenoise_2: 1949
	cave_dweller:cavenoise_3: 1950
	cave_dweller:cavenoise_4: 1951
	cave_dweller:chase_1: 1956
	cave_dweller:chase_2: 1957
	cave_dweller:chase_3: 1958
	cave_dweller:chase_4: 1959
	cave_dweller:chase_step_1: 1952
	cave_dweller:chase_step_2: 1953
	cave_dweller:chase_step_3: 1954
	cave_dweller:chase_step_4: 1955
	cave_dweller:disappear: 1963
	cave_dweller:dweller_death: 1968
	cave_dweller:dweller_hurt_1: 1964
	cave_dweller:dweller_hurt_2: 1965
	cave_dweller:dweller_hurt_3: 1966
	cave_dweller:dweller_hurt_4: 1967
	cave_dweller:flee_1: 1960
	cave_dweller:flee_2: 1961
	cave_dweller:spotted: 1962
	man:forest_ambient: 1484
	man:jumpscare: 1480
	man:long_riser: 1486
	man:long_whisper: 1488
	man:look: 1479
	man:loop: 1481
	man:ritual: 1492
	man:ritual_enter: 1487
	man:safety_instructions: 1491
	man:scream_loop: 1477
	man:short_whisper_1: 1489
	man:short_whisper_2: 1490
	man:spawn_1: 1474
	man:spawn_2: 1475
	man:spawn_3: 1476
	man:spawn_4: 1482
	man:spawn_5: 1483
	man:vanish: 1478
	man:white_noise_passby: 1485
	pointblank:aa12: 1742
	pointblank:aa12_magin: 1945
	pointblank:aa12_magout: 1944
	pointblank:ak12: 1752
	pointblank:ak12_silenced: 1903
	pointblank:ak47: 1750
	pointblank:ak47_silenced: 1902
	pointblank:ak74: 1751
	pointblank:ak74_silenced: 1904
	pointblank:ak_actionback: 1804
	pointblank:ak_actionforward: 1805
	pointblank:ak_draw: 1857
	pointblank:ak_magin: 1802
	pointblank:ak_magout: 1803
	pointblank:ak_safety: 1856
	pointblank:an94: 1930
	pointblank:ar57: 1943
	pointblank:at4: 1831
	pointblank:at4_cover: 1854
	pointblank:at4_lever: 1855
	pointblank:attachment_added: 1736
	pointblank:attachment_removed: 1737
	pointblank:aug: 1749
	pointblank:aug_silenced: 1900
	pointblank:ballista: 1883
	pointblank:ballista_boltback: 1886
	pointblank:ballista_boltforward: 1887
	pointblank:ballista_magin: 1885
	pointblank:ballista_magout: 1884
	pointblank:ballista_silenced: 1922
	pointblank:boltback: 1783
	pointblank:boltforward: 1784
	pointblank:bulletinsert: 1785
	pointblank:c14: 1794
	pointblank:citoricxs: 1819
	pointblank:click: 1864
	pointblank:crafting_completed: 1733
	pointblank:crafting_in_progress: 1734
	pointblank:crafting_item_selected: 1735
	pointblank:dbshotgun_close: 1818
	pointblank:dbshotgun_open: 1817
	pointblank:deagle_magin: 1872
	pointblank:deagle_magout: 1871
	pointblank:deagle_slide: 1873
	pointblank:deserteagle: 1874
	pointblank:deserteagle_silenced: 1918
	pointblank:draw: 1838
	pointblank:foley_end: 1769
	pointblank:foley_start: 1768
	pointblank:g3: 1939
	pointblank:g36c: 1745
	pointblank:g36k: 1746
	pointblank:g3_magin: 1938
	pointblank:g3_magout: 1937
	pointblank:g3_silenced: 1940
	pointblank:g41: 1759
	pointblank:g41_silenced: 1901
	pointblank:glock17: 1740
	pointblank:glock_suppressed: 1914
	pointblank:gm6lynx: 1795
	pointblank:gm6lynx_actionback: 1796
	pointblank:gm6lynx_actionforward: 1797
	pointblank:gm6lynx_magin: 1798
	pointblank:gm6lynx_magout: 1799
	pointblank:gm6lynx_silenced: 1921
	pointblank:grenade20mm: 1929
	pointblank:hit_headshot: 1730
	pointblank:hit_heavy: 1732
	pointblank:hit_light: 1731
	pointblank:hk416: 1896
	pointblank:hk416_silenced: 1897
	pointblank:hs12: 1820
	pointblank:ignite: 1829
	pointblank:inspect_down: 1842
	pointblank:inspect_foley: 1840
	pointblank:inspect_turn: 1841
	pointblank:inspect_up: 1839
	pointblank:l96a1: 1782
	pointblank:l96a1_silenced: 1920
	pointblank:lamg: 1741
	pointblank:laser: 1931
	pointblank:laser_charge: 1932
	pointblank:laser_close: 1936
	pointblank:laser_magin: 1935
	pointblank:laser_magout: 1934
	pointblank:laser_open: 1933
	pointblank:launcher: 1830
	pointblank:launcher_close: 1913
	pointblank:launcher_draw: 1848
	pointblank:launcher_open: 1912
	pointblank:launcher_reloadend: 1849
	pointblank:launcher_reloadstart: 1850
	pointblank:lmg_bulletchain: 1808
	pointblank:lmg_coverdown: 1810
	pointblank:lmg_coverup: 1809
	pointblank:lmg_magin: 1812
	pointblank:lmg_magout: 1811
	pointblank:locked: 1828
	pointblank:locking: 1827
	pointblank:m134minigun: 1826
	pointblank:m16a1: 1748
	pointblank:m16a1_silenced: 1895
	pointblank:m1911_silenced: 1915
	pointblank:m1911a1: 1739
	pointblank:m249: 1867
	pointblank:m4_actionback: 1772
	pointblank:m4_actionforward: 1773
	pointblank:m4_hit: 1780
	pointblank:m4_maghit: 1774
	pointblank:m4_magin: 1775
	pointblank:m4_magout: 1776
	pointblank:m4_magout_throw: 1777
	pointblank:m4_magout_throw2: 1778
	pointblank:m4_press: 1779
	pointblank:m4a1: 1743
	pointblank:m4a1_silenced: 1893
	pointblank:m4sopmodii: 1747
	pointblank:m4sopmodii_silenced: 1894
	pointblank:m590: 1765
	pointblank:m870: 1800
	pointblank:m9: 1858
	pointblank:m950: 1758
	pointblank:m950_silenced: 1910
	pointblank:m9_silenced: 1917
	pointblank:mgl_close: 1836
	pointblank:mgl_load: 1835
	pointblank:mgl_open: 1833
	pointblank:mgl_shoot: 1832
	pointblank:mgl_unload: 1834
	pointblank:minigun_foley: 1821
	pointblank:minigun_load: 1823
	pointblank:minigun_unload: 1822
	pointblank:minigunchargeup: 1824
	pointblank:minigunwinddown: 1825
	pointblank:mk14ebr: 1762
	pointblank:mk14ebr_silenced: 1924
	pointblank:mk48: 1866
	pointblank:mp5: 1754
	pointblank:mp5_actionback: 1789
	pointblank:mp5_actionslap: 1786
	pointblank:mp5_actionup: 1790
	pointblank:mp5_boltclose: 1791
	pointblank:mp5_magin: 1788
	pointblank:mp5_magout: 1787
	pointblank:mp5_silenced: 1905
	pointblank:mp7: 1755
	pointblank:mp7a2devgru: 1756
	pointblank:p30l: 1868
	pointblank:p30l_silenced: 1916
	pointblank:p90: 1882
	pointblank:p90_magin: 1881
	pointblank:p90_magout: 1880
	pointblank:p90_silenced: 1909
	pointblank:pin: 1946
	pointblank:pistol_draw: 1843
	pointblank:pistol_hit: 1813
	pointblank:pistol_inspectdown: 1847
	pointblank:pistol_inspectfoley: 1845
	pointblank:pistol_inspectturn: 1846
	pointblank:pistol_inspectup: 1844
	pointblank:pistol_magin: 1814
	pointblank:pistol_magout: 1815
	pointblank:pistol_magout_fast: 1859
	pointblank:pistol_slide: 1816
	pointblank:printer_off: 1876
	pointblank:printer_on: 1875
	pointblank:pump1: 1766
	pointblank:pump2: 1767
	pointblank:reload: 1738
	pointblank:revolver_close: 1861
	pointblank:revolver_open: 1860
	pointblank:revolver_shellsout: 1862
	pointblank:revolver_speedloader: 1863
	pointblank:rhino: 1865
	pointblank:rhino_silenced: 1919
	pointblank:rifle_magin: 1792
	pointblank:rifle_magout: 1793
	pointblank:ro635: 1869
	pointblank:ro635_silenced: 1906
	pointblank:scarl: 1806
	pointblank:scarl_press: 1870
	pointblank:scarl_unsilenced: 1898
	pointblank:shell: 1770
	pointblank:shell_chamber: 1771
	pointblank:shotgun_magin: 1942
	pointblank:shotgun_magout: 1941
	pointblank:sl8: 1761
	pointblank:sl8_silenced: 1925
	pointblank:smaw_load: 1851
	pointblank:smaw_turn: 1852
	pointblank:smaw_unload: 1853
	pointblank:spas12: 1801
	pointblank:spas12_silenced: 1926
	pointblank:star15: 1744
	pointblank:throw: 1947
	pointblank:tmp: 1757
	pointblank:tmp_silenced: 1911
	pointblank:uar10: 1837
	pointblank:uar10_silenced: 1923
	pointblank:ump45: 1753
	pointblank:ump45_unsilenced: 1907
	pointblank:vector: 1879
	pointblank:vector_magin: 1877
	pointblank:vector_press: 1878
	pointblank:vector_silenced: 1908
	pointblank:wa2000: 1760
	pointblank:wa2000_actionback: 1763
	pointblank:wa2000_actionforward: 1764
	pointblank:xm29: 1927
	pointblank:xm29_grenade: 1928
	pointblank:xm3: 1781
	pointblank:xm7: 1807
	pointblank:xm7_chargeback: 1891
	pointblank:xm7_chargeforward: 1892
	pointblank:xm7_magin: 1889
	pointblank:xm7_magout: 1888
	pointblank:xm7_magoutfast: 1890
	pointblank:xm7_unsilenced: 1899
	sanitydim:flowers_equip: 1981
	sanitydim:heartbeat: 1979
	sanitydim:inner_entity_hurt: 1982
	sanitydim:insanity: 1978
	sanitydim:swish: 1980

[20Apr2025 02:17:22.040] [main/ERROR] [net.minecraftforge.registries.GameData/REGISTRIES]: Unidentified mapping from registry minecraft:villager_profession
	man:cultist: 15
	pointblank:arms_dealer: 16

[20Apr2025 02:17:22.042] [main/WARN] [net.minecraftforge.registries.GameData/REGISTRIES]: Forge Mod Loader detected missing registry entries.

There are 1119 missing entries in this save.
If you continue the missing entries will get removed.
A world backup will be automatically created in your saves directory.


[20Apr2025 02:17:22.042] [main/WARN] [net.minecraftforge.registries.GameData/REGISTRIES]: Missing minecraft:sound_event:
    alexsmobs:alligator_snapping_turtle_hurt
    alexsmobs:alligator_snapping_turtle_idle
    alexsmobs:anaconda_attack
    alexsmobs:anaconda_hurt
    alexsmobs:anaconda_slither
    alexsmobs:anteater_hurt
    alexsmobs:april_fools_music_box
    alexsmobs:april_fools_power_outage
    alexsmobs:april_fools_scream
    alexsmobs:bald_eagle_hurt
    alexsmobs:bald_eagle_idle
    alexsmobs:banana_slug_hurt
    alexsmobs:banana_slug_slime_expand
    alexsmobs:bear_dust
    alexsmobs:bison_hurt
    alexsmobs:bison_idle
    alexsmobs:blue_jay_hurt
    alexsmobs:blue_jay_idle
    alexsmobs:blue_jay_song
    alexsmobs:bone_serpent_hurt
    alexsmobs:bone_serpent_idle
    alexsmobs:bunfungus_attack
    alexsmobs:bunfungus_hurt
    alexsmobs:bunfungus_idle
    alexsmobs:bunfungus_jump
    alexsmobs:cachalot_whale_click
    alexsmobs:cachalot_whale_hurt
    alexsmobs:cachalot_whale_idle
    alexsmobs:caiman_hurt
    alexsmobs:caiman_idle
    alexsmobs:caiman_splash
    alexsmobs:capuchin_monkey_hurt
    alexsmobs:capuchin_monkey_idle
    alexsmobs:centipede_attack
    alexsmobs:centipede_hurt
    alexsmobs:centipede_walk
    alexsmobs:cockroach_hurt
    alexsmobs:comb_jelly_hurt
    alexsmobs:cosmaw_hurt
    alexsmobs:cosmaw_idle
    alexsmobs:cosmic_cod_hurt
    alexsmobs:crocodile_baby
    alexsmobs:crocodile_bite
    alexsmobs:crocodile_hurt
    alexsmobs:crocodile_idle
    alexsmobs:crow_hurt
    alexsmobs:crow_idle
    alexsmobs:devils_hole_pupfish_hurt
    alexsmobs:dropbear_hurt
    alexsmobs:dropbear_idle
    alexsmobs:elephant_die
    alexsmobs:elephant_hurt
    alexsmobs:elephant_idle
    alexsmobs:elephant_trumpet
    alexsmobs:elephant_walk
    alexsmobs:emu_hurt
    alexsmobs:emu_idle
    alexsmobs:end_pirate_door
    alexsmobs:endergrade_hurt
    alexsmobs:endergrade_idle
    alexsmobs:enderiophage_hurt
    alexsmobs:enderiophage_squish
    alexsmobs:enderiophage_walk
    alexsmobs:farseer_beam
    alexsmobs:farseer_emerge
    alexsmobs:farseer_hurt
    alexsmobs:farseer_idle
    alexsmobs:flutter_flap
    alexsmobs:flutter_hurt
    alexsmobs:flutter_idle
    alexsmobs:flutter_no
    alexsmobs:flutter_yes
    alexsmobs:fly_hurt
    alexsmobs:fly_idle
    alexsmobs:froststalker_hurt
    alexsmobs:froststalker_idle
    alexsmobs:gazelle_hurt
    alexsmobs:gelada_monkey_hurt
    alexsmobs:gelada_monkey_idle
    alexsmobs:giant_squid_games
    alexsmobs:giant_squid_hurt
    alexsmobs:giant_squid_tentacle
    alexsmobs:gorilla_hurt
    alexsmobs:gorilla_idle
    alexsmobs:grizzly_bear_die
    alexsmobs:grizzly_bear_hurt
    alexsmobs:grizzly_bear_idle
    alexsmobs:guster_hurt
    alexsmobs:guster_idle
    alexsmobs:hummingbird_hurt
    alexsmobs:hummingbird_idle
    alexsmobs:hummingbird_loop
    alexsmobs:jerboa_hurt
    alexsmobs:jerboa_idle
    alexsmobs:kangaroo_hurt
    alexsmobs:kangaroo_idle
    alexsmobs:komodo_dragon_hurt
    alexsmobs:komodo_dragon_idle
    alexsmobs:la_cucaracha
    alexsmobs:laviathan_hurt
    alexsmobs:laviathan_idle
    alexsmobs:leafcutter_ant_hurt
    alexsmobs:leafcutter_ant_queen_hurt
    alexsmobs:lobster_attack
    alexsmobs:lobster_hurt
    alexsmobs:maned_wolf_hurt
    alexsmobs:maned_wolf_idle
    alexsmobs:mantis_shrimp_hurt
    alexsmobs:mantis_shrimp_snap
    alexsmobs:maraca
    alexsmobs:mimic_octopus_hurt
    alexsmobs:mimic_octopus_idle
    alexsmobs:mimicube_hurt
    alexsmobs:mimicube_jump
    alexsmobs:moose_hurt
    alexsmobs:moose_idle
    alexsmobs:moose_jostle
    alexsmobs:mosquito_capsid_convert
    alexsmobs:mosquito_die
    alexsmobs:mosquito_hurt
    alexsmobs:mosquito_loop
    alexsmobs:mudskipper_hurt
    alexsmobs:mudskipper_spit
    alexsmobs:mudskipper_walk
    alexsmobs:mungus_hurt
    alexsmobs:mungus_idle
    alexsmobs:mungus_laser_end
    alexsmobs:mungus_laser_grow
    alexsmobs:mungus_laser_loop
    alexsmobs:murmur_anger
    alexsmobs:murmur_attack
    alexsmobs:murmur_hurt
    alexsmobs:murmur_idle
    alexsmobs:murmur_neck
    alexsmobs:music_disc_daze
    alexsmobs:music_disc_thime
    alexsmobs:music_wormboss
    alexsmobs:orca_die
    alexsmobs:orca_hurt
    alexsmobs:orca_idle
    alexsmobs:platypus_hurt
    alexsmobs:platypus_idle
    alexsmobs:potoo_call
    alexsmobs:potoo_hurt
    alexsmobs:raccoon_hurt
    alexsmobs:raccoon_idle
    alexsmobs:rain_frog_hurt
    alexsmobs:rain_frog_idle
    alexsmobs:rattlesnake_attack
    alexsmobs:rattlesnake_hurt
    alexsmobs:rattlesnake_loop
    alexsmobs:rhinoceros_hurt
    alexsmobs:rhinoceros_idle
    alexsmobs:roadrunner_hurt
    alexsmobs:roadrunner_idle
    alexsmobs:roadrunner_meep
    alexsmobs:rocky_roller_earthquake
    alexsmobs:rocky_roller_hurt
    alexsmobs:rocky_roller_idle
    alexsmobs:sculk_boomer
    alexsmobs:sculk_boomer_fart
    alexsmobs:seagull_hurt
    alexsmobs:seagull_idle
    alexsmobs:seal_hurt
    alexsmobs:seal_idle
    alexsmobs:shoebill_hurt
    alexsmobs:skelewag_hurt
    alexsmobs:skelewag_idle
    alexsmobs:skreecher_call
